Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
Pinwheel,https://www.crunchbase.com/organization/pinwheel-7871,"Financial Services, Information Technology, Software","New York, New York, United States",Pinwheel is the first API for Payroll,7000000,USD,7000000,Seed,"2,834",1,https://www.linkedin.com/company/pinwheelhq/,https://www.getpinwheel.com/,"Anish Basu, Curtis Lee, Kurt Lin"
Peregrine Technologies,https://www.crunchbase.com/organization/peregrine,"Analytics, Enterprise Software, Information Technology, Software","San Francisco, California, United States",Peregrine provides public safety agencies with actionable intelligence that helps them reduce crime while safeguarding personal liberties.,7000000,USD,7000000,Series A,"12,551",3,https://linkedin.com/company/peregrine-technologies,https://peregrine.io,"Ben Rudolph, Nick Noone"
Ender,https://www.crunchbase.com/organization/ender,"Property Management, Real Estate Investment, Software","Austin, Texas, United States",Ender is a real estate company that helps owners of rental homes to more efficiently handle day-to-day operations of property management.,7000000,USD,7000000,Seed,"13,526",1,,https://ender.com/,"Jason Mirra, Jonathan Lonsdale"
Chesky,https://www.crunchbase.com/organization/chesky,"Recruiting, Software, Software Engineering","San Francisco, California, United States",Chesky is an easiest way to prepare for a technical interview.,7000000,USD,7000000,Seed,"14,850",1,,http://www.chesky.ai,
SYNAOS,https://www.crunchbase.com/organization/synaos,"Cloud Computing, Logistics, Software","Hanover, Niedersachsen, Germany","SYNAOS provides software solutions for connectivity, controlling and planning of logistics and production entities.",6000000,EUR,6874498,Seed,"23,971",1,https://www.linkedin.com/company/synaos/,https://synaos.com/,"Lennart Bochmann, Tobias Gagern, Wolfgang Hackenberg"
Trainual,https://www.crunchbase.com/organization/trainual,"E-Learning, SaaS, Small and Medium Businesses, Software, Subscription Service, Training","Scottsdale, Arizona, United States",Trainual is a software platform that helps businesses build playbooks to train and grow their team.,6750000,USD,6750000,Series A,"7,256",1,https://www.linkedin.com/company/trainual,https://www.trainual.com,"Chris Ronzio, Jonathan Ronzio"
Majelan,https://www.crunchbase.com/organization/majelan,"Audio, Digital Entertainment, Music, Podcast, Software","Paris, Ile-de-France, France",Majelan designs software for entertainment that helps users find and discover audio content.,6000000,EUR,6704817,Series A,"16,160",2,https://www.linkedin.com/company/majelan-audio/,https://www.majelan.audio/,"Arthur Perticoz, Mathieu Gallet"
Freedom Robotics,https://www.crunchbase.com/organization/freedom-robotics,"Information Technology, IT Infrastructure, Robotics, Software","San Francisco, California, United States",Freedom Robotics is a software company that creates powerful control and monitoring software for modern robotics companies.,6600000,USD,6600000,Seed,"7,820",2,https://www.linkedin.com/company/freedomrobotics/,https://www.freedomrobotics.ai/,"Dimitri Onistsuk, Hans Lee, Joshua Wilson"
Acre,https://www.crunchbase.com/organization/acre,"Financial Services, Real Estate, Software","London, England, United Kingdom",Transforming the way we buy property,5800000,EUR,6510497,Series A,"20,969",1,https://www.linkedin.com/company/acreplatforms/,https://www.acresoftware.com,Justus Brown
Syncari,https://www.crunchbase.com/organization/syncari,"Internet, SaaS, Software","Fremont, California, United States",Syncari is a modern Data Automation Platform,6500000,USD,6500000,Seed,"5,955",2,https://www.linkedin.com/company/syncari,https://syncari.com,"Neelesh Shastry, Nick Bonfiglio"
BluBracket,https://www.crunchbase.com/organization/blubracket,"Cyber Security, Software","Palo Alto, California, United States",BluBracket is the first comprehensive enterprise security solution for code in a software-driven world.,6500000,USD,6500000,Seed,"10,400",2,,https://www.blubracket.com,"Ajay K Arora, Prakash Linga"
SoundCommerce,https://www.crunchbase.com/organization/soundcommerce,"Cloud Computing, E-Commerce, Information Technology, Software","Seattle, Washington, United States","The SoundCommerce data platform drives profitable growth, customer experience and CLV for brands and retailers from first click to doorstep.",6500000,USD,6500000,Seed,"18,587",1,https://www.linkedin.com/company/soundcommerce/,https://www.soundcommerce.com,"Eric Best, Jared Stiff"
Strala,https://www.crunchbase.com/organization/strala,"Advertising, Information Technology, Marketing, SaaS, Software","Lehi, Utah, United States",Strala helps brands automate and measure the effectiveness of each customer touchpoint across the entire customer journey.,6500000,USD,6500000,Seed,"22,030",1,https://www.linkedin.com/company/straladigital/,https://www.strala.com,"Mikel Chertudi, Rob Clarke"
Acquire,https://www.crunchbase.com/organization/acquire-68dc,"Customer Service, Marketing, Messaging, SaaS, Sales, Software","San Francisco, California, United States","Acquire is a unified customer engagement platform that brings all communication, interactions, channels, and tools under one roof.",6400000,USD,6400000,Series A,"1,097",2,https://www.linkedin.com/company/acquire-io/,https://www.acquire.io,"Amrit Dhangal, Laduram Vishnoi"
Sperax,https://www.crunchbase.com/organization/sperax,"Blockchain, Cryptocurrency, Information Technology, Infrastructure, Software","San Francisco, California, United States","Sperax returns blockchains to their original tenants of democracy through improvements in decentralization, security, and performance.",6100000,USD,6100000,Seed,"24,889",1,https://www.linkedin.com/company/sperax/,https://sperax.io/,
Samya.AI,https://www.crunchbase.com/organization/samya-ai,"Artificial Intelligence, Machine Learning, Software","Northbrook, Illinois, United States",Samya.AI operates as a revenue growth AI company that brings the power of deep learning.,6000000,USD,6000000,Seed,"12,650",1,https://www.linkedin.com/company/samya-ai-inc/,https://samya.ai/,"Deepinder Singh Dhingra, Pavan Palety, Shailendra Singh"
Swit,https://www.crunchbase.com/organization/swit,"Collaboration, Enterprise Software, Information Technology, Project Management, SaaS, Software, Task Management","San Francisco, California, United States",Swit is a collaboration suite for Teams.,6000000,USD,6000000,Seed,"14,460",2,http://linkedin.com/company/swittech,https://swit.io/,"Josh Lee, Max Lim"
Real Magic,https://www.crunchbase.com/organization/real-magic,"Contact Management, CRM, Email, Email Marketing, SaaS, Software","Raleigh, North Carolina, United States","Levitate helps relationship-based businesses keep in touch with clients, prospects, and referral sources.",6000000,USD,6000000,Series A,"28,581",1,,https://levitate.ai,Jesse Lipson
OneRail,https://www.crunchbase.com/organization/zapt,"Delivery, E-Commerce, Freight Service, Information Technology, Last Mile Transportation, Logistics, Retail Technology, SaaS, Same Day Delivery, Supply Chain Management","Orlando, Florida, United States","OneRail is a final mile orchestration platform that matches the demand signal (POS, ERP, eCommerce) with fulfillment networks in real-time.",5800000,USD,5800000,Seed,"5,148",1,https://www.linkedin.com/company/onerail-finalmile/?viewAsMember=true,http://www.onerail.io,"Bill Catania, Lisa Catania"
BuildOps,https://www.crunchbase.com/organization/buildops,"Commercial Real Estate, Information Technology, Mobile, SaaS, Software","Santa Monica, California, United States",Industry leading all-in-one software solution for subcontractors driving profitability through best-in-class technology,5800000,USD,5800000,Seed,"7,803",1,https://www.linkedin.com/company/buildops/,http://buildops.com/,"Alok Chanani, Neeraj Mittal, Steve Chew"
Trust.co,https://www.crunchbase.com/organization/trustdotco,Software,"Los Angeles, California, United States","The fastest way to build business trust. For more information, visit www.trust.co.",5600000,USD,5600000,Seed,"34,978",1,https://www.linkedin.com/company/trustplatform/,https://trust.co,"Chris Lorenz, Daniel Druger, Geoffrey Anderson, James Borow, Sean Friedland, Spencer Anderson"
Capmo,https://www.crunchbase.com/organization/capmo,"Construction, Property Management, Real Estate, SaaS, Software","Munich, Bayern, Germany",Capmo develops software for the construction industry.,5000000,EUR,5514399,Series A,"9,072",2,https://www.linkedin.com/company/capmo/,https://www.capmo.de,"Florian Biller, Florian Ettlinger, Sebastian Schlecht"
Athena Security,https://www.crunchbase.com/organization/athena-security-inc,"Artificial Intelligence, Computer Vision, Cyber Security, Education, Health Care, Information Technology, Machine Learning, Physical Security, Security, Software","Austin, Texas, United States",Athena’s mission is to save lives by preventing crimes like active shooter situations with  AI Gun Detection Software and detecting a fever.,5500000,USD,5500000,Seed,"6,629",2,https://www.linkedin.com/company/athena-inc/,http://athena-security.com,"Christopher Ciabarra, Lisa Falzone"
BlocWatch,https://www.crunchbase.com/organization/blocwatch-inc,"Blockchain, Cryptocurrency, Enterprise Software, Information Technology, SaaS, Software","Rochester, New York, United States","BlocWatch is an SaaS company that provides public and private blockchain analytics, monitoring, management, and verification.",5500000,USD,5500000,Seed,"21,804",1,https://www.linkedin.com/company/blocwatch/,https://www.blocwatch.com/,"Aaron Klein, Aaron Newman, Jason Ruckman"
SKUxchange,https://www.crunchbase.com/organization/skuxchange,"Blockchain, FinTech, Information Technology, PaaS, Payments, SaaS","St. Petersburg, Florida, United States","SKUx is a Fintech company utilizing smart, secure, one-time use digital incentives to drive incremental spend to retailers.",5500000,USD,5500000,Seed,"21,919",1,https://www.linkedin.com/company/skux,https://skux.io/,"Bobby Tinsley, Jim Sampey, Kenneth Douglas, Robert Zaccardo"
Synthetic Minds,https://www.crunchbase.com/organization/synthetic-minds,"Ethereum, Intelligent Systems, Software","San Francisco, California, United States",Synthetic Minds secures smart contracts using program synthesis.,5500000,USD,5500000,Seed,"22,818",1,https://www.linkedin.com/company/synthetic-minds/,https://synthetic-minds.com/,Saurabh Srivastava
api.video,https://www.crunchbase.com/organization/api-video,"Developer Platform, Enterprise Software, Video Streaming","Bordeaux, Aquitaine, France",Api.video is a provider of an API-based video platform that helps developers both scale and build commercial video content.,5500000,USD,5500000,Seed,"23,701",3,https://www.linkedin.com/company/api-video/about/,https://api.video,Cedric Montet
Robocorp,https://www.crunchbase.com/organization/robocorp,"Cloud Infrastructure, Information Technology, Open Source, SaaS, Software","San Francisco, California, United States",Robocorp is a cloud platform for robotic process automation (RPA) and open source RPA tools.,5400000,USD,5400000,Seed,"2,924",3,https://www.linkedin.com/company/robocorp/,https://robocorp.com/,"Antti Karjalainen, Jouko Ahvenainen, Sampo Ahokas, Teppo Koskinen"
Osano,https://www.crunchbase.com/organization/osano,"B2B, Privacy, SaaS","Austin, Texas, United States",Osano is an easy-to-use data privacy platform that instantly helps a website become compliant with laws such as GDPR and CCPA.,5400000,USD,5400000,Series A,"47,285",3,https://www.linkedin.com/company/osano,https://www.osano.com,"Arlo Gilbert, Scott Hertel"
